store,sido,gungu,address,phone
서울신도림점,서울,구로구,"서울 구로구 경인로67길 23 (신도림동, 신도림2차푸르지오) 1층 109호, 110호 (신도림동, 신도림2차 푸르지오)",02-2633-7732
서울대학로점,서울,종로구,서울 종로구 창경궁로 247 (명륜2가) 1층,02-745-6060
서울상도점,서울,동작구,서울 동작구 상도로 349-1 (상도동),02-3280-8260
서울은평구뉴타운점,서울,은평구,"서울 은평구 진관3로 67 (진관동, 은평뉴타운 구파발) 909동 1층 제상가 105호",02-356-6082
서울세곡점,서울,강남구,서울 강남구 자곡로 202 (자곡동) 1동 1층 120호 (강남힐스테이트에코),02-459-6050
서울묵동점,서울,중랑구,서울 중랑구 숙선옹주로 11 (묵동) 1층 60계치킨 서울묵동점,02-949-6082
서울행당점,서울,성동구,서울 성동구 행당로 76 (행당동) 행당 한진타운 노변상가 1층 114호,02-2282-6082
서울홍제홍은점,서울,서대문구,서울 서대문구 세무서길 73 (홍제동) 1층,02-379-6082
서울망우점,서울,중랑구,서울 중랑구 용마산로 494 (망우동) 1층 109호,02-434-6082
서울신풍역점,서울,영등포구,서울 영등포구 신풍로 33 (신길동) 1층,02-835-9282
서울신월점,서울,양천구,"서울 양천구 신월로10길 8 (신월동, 대림아파트) 1층 101호",02-2695-3531
서울사당역점,서울,관악구,서울 관악구 남현1길 68-10 (남현동) 2층,02-588-6082
서울회기점,서울,동대문구,서울 동대문구 회기동 45-106,02-967-6082
서울신당점,서울,중구,"서울 중구 퇴계로76길 36 (무학동) 지하1층, 1층, 2층",02-2235-6070
서울제기동역점,서울,동대문구,"서울 동대문구 정릉천동로 58 (용두동, 롯데캐슬피렌체) 126호, 127호",02-964-9992
서울대학동점,서울,관악구,서울 관악구 호암로26길 52 (신림동),02-875-9960
서울연신내점,서울,은평구,서울 은평구 연서로27길 16-16 (갈현동) 1층,02-383-6660
서울당산역점,서울,영등포구,서울 영등포구 당산로45길 1 (당산동5가) 1층 105호 (당산 삼성쉐르빌),02-2672-9282
서울방배점,서울,서초구,서울 서초구 방배로13길 28 (방배동) 한울서리풀베아체 1층 102호,02-598-6082
경기배곧신도시점,경기,시흥시,"경기 시흥시 서울대학로278번길 26 (정왕동) 104호(정왕동, 시흥배곧 아브뉴프랑 세트럴오렌지)",031-497-9100
천호역점,서울,강동구,서울 강동구 천호동 454-17 1층,02-472-6060
여의도점,서울,영등포구,서울 영등포구 국회대로72길 6 (여의도동) 여의도아크로폴리스 101~104호,02-782-8260
개봉역점,서울,구로구,서울 구로구 남부순환로95길 8-10 (개봉동) 1층,02-2066-5660
서울수유점,서울,강북구,"서울 강북구 노해로8길 22 (수유동) 1층 105호, 107호 (경남아너스빌)",02-993-6060
서울시흥점,서울,금천구,서울 금천구 시흥대로56길 8 (시흥동) 101동 102호(세종팰리스),02-803-7055
문래점,서울,영등포구,서울 영등포구 문래로 33 (문래동6가) 문래크라운팰리스 101동 101호,02-2633-6099
상봉중화점,서울,중랑구,서울 중랑구 상봉중앙로 48 (상봉동) 1층,02-436-9001
서울신촌점,서울,서대문구,"서울 서대문구 연세로9길 10-5 (창천동) 1,2층",02-332-8181
금호점,서울,성동구,서울 성동구 금호로 105 (금호동2가) 상가동 지하 4층 404호,02-2256-6060
상암점,서울,마포구,서울 마포구 월드컵북로44길 59 (상암동) 1층,02-303-6070
신림점,서울,관악구,서울 관악구 신림로59길 10 (신림동) 1층,02-876-8770
서울논현점,서울,강남구,서울 강남구 강남대로118길 14 (논현동) 1층,02-542-6082
서울망원점,서울,마포구,"서울 마포구 희우정로 77 (망원동, 마포한강아이파크) 상가동 지하 1층 111호",02-323-6060
방이점,서울,송파구,서울 송파구 오금로11길 11-8 (방이동) 107호,02-425-6079
서울독산점,서울,금천구,"서울 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차) 310동 155호",02-807-6060
방학도봉점,서울,도봉구,서울 도봉구 도봉로153길 30 (도봉동) 1층,02-954-5802
오목교역점,서울,양천구,서울 양천구 목동동로12길 20 (신정동) 하버드 103호,02-2654-9987
서울한양대점,서울,성동구,서울 성동구 마조로3가길 14 (행당동) 1~2층,02-2294-0060
서울이수점,서울,동작구,"서울 동작구 사당로23길 112 (사당동, 래미안 로이파크) 후면상가 B108호",02-536-6068
구로디지털단지점,서울,구로구,서울 구로구 디지털로32나길 4 (구로동),02-865-0044
발산등촌점,서울,강서구,서울 강서구 마곡동로3길 26 (마곡동) 랑데르2 107호,02-3661-5888
마포역점,서울,마포구,서울 마포구 마포동 195-2,02-716-6026
서울아현점,서울,마포구,"서울 마포구 마포대로 167 (공덕동, 래미안 공덕5차) 상가동 104호",02-702-2380
서울정릉점,서울,성북구,서울 성북구 정릉동 397-6,02-943-9260
우장산점,서울,양천구,서울 양천구 화곡로13길 13 (신월동) 1층,02-2606-6092
쌍문점,서울,도봉구,서울 도봉구 도봉로114길 22-7 (창동) 1층,02-903-5802
서울중계점,서울,노원구,서울 노원구 중계동 84-44,02-931-9991
응암점,서울,은평구,서울 은평구 응암로21길 3-1 (응암동) 1층,02-303-3660
봉천점,서울,관악구,"서울 관악구 은천로 93 (봉천동, 벽산블루밍아파트) 벽산2상가 1층 108호",02-877-6079
